Order_ID,Order_Line_ID,Order_Date,Customer_ID,Product_ID,Postal_Code,Ship_Date,Delivery_Date,Ship_Mode,Quantity,Unit_Price,Discount,Discount_Type,Net_Sales
ORD-000001,LINE-000001,2024-04-08,CUST-016350,NVA-FUR-0036,30319,2024-04-09,2024-04-12,Standard,1,211.73,0.03,Percentage,205.38
ORD-000001,LINE-000002,2024-04-08,CUST-016350,NVA-LGT-0061,30319,2024-04-09,2024-04-12,Standard,1,138.59,0.0,Percentage,138.59
ORD-000001,LINE-000003,2024-04-08,CUST-016350,NVA-DEC-0092,30319,2024-04-09,2024-04-12,Standard,1,241.99,0.0,Percentage,241.99
ORD-000001,LINE-000004,2024-04-08,CUST-016350,NVA-DEC-0060,30319,2024-04-09,2024-04-12,Standard,1,216.37,0.06,Percentage,203.39
ORD-000002,LINE-000005,2024-09-05,CUST-013166,NVA-FUR-0005,84093,2024-09-06,2024-09-08,Express,2,605.72,0.0,Percentage,1211.44
ORD-000002,LINE-000006,2024-09-05,CUST-013166,NVA-LGT-0048,84093,2024-09-06,2024-09-08,Express,1,133.55,0.06,Percentage,125.54
ORD-000003,LINE-000007,2024-05-23,CUST-000538,NVA-FUR-0033,14269,2024-05-24,2024-05-28,Standard,1,1141.56,0.0,Percentage,1141.56
ORD-000003,LINE-000008,2024-05-23,CUST-000538,NVA-DEC-0060,14269,2024-05-24,2024-05-28,Standard,3,229.38,0.0,Percentage,688.14
ORD-000003,LINE-000009,2024-05-23,CUST-000538,NVA-FUR-0030,14269,2024-05-24,2024-05-28,Standard,3,418.31,0.0,Percentage,1254.93
ORD-000004,LINE-000010,2024-04-20,CUST-002899,NVA-FUR-0028,14566,2024-04-21,2024-04-25,Standard,1,1145.3,0.09,Percentage,1042.22
ORD-000004,LINE-000011,2024-04-20,CUST-002899,NVA-DEC-0004,14566,2024-04-21,2024-04-25,Standard,1,158.19,0.04,Percentage,151.86
ORD-000005,LINE-000012,2024-10-22,CUST-009194,NVA-TXT-0038,45030,2024-10-23,2024-10-28,Standard,1,111.31,0.09,Percentage,101.29
ORD-000006,LINE-000013,2024-11-03,CUST-012079,NVA-FUR-0055,7019-194,2024-11-05,2024-11-12,Standard,1,879.82,0.17,Percentage,730.25
ORD-000006,LINE-000014,2024-11-03,CUST-012079,NVA-TXT-0092,7019-194,2024-11-05,2024-11-12,Standard,1,225.32,0.3,Percentage,157.72
ORD-000007,LINE-000015,2024-09-19,CUST-007140,NVA-FUR-0001,59642,2024-09-20,2024-09-22,Standard,1,428.28,0.09,Percentage,389.73
ORD-000008,LINE-000016,2024-04-05,CUST-016833,NVA-SEA-0010,50205,2024-04-07,2024-04-10,Standard,1,515.48,0.0,Percentage,515.48
ORD-000009,LINE-000017,2024-11-19,CUST-010520,NVA-KDN-0019,75006,2024-11-19,2024-11-23,Standard,2,1036.92,0.24,Percentage,1576.12
ORD-000010,LINE-000018,2024-06-23,CUST-009874,NVA-KDN-0014,59759,2024-06-23,2024-06-26,Express,1,360.06,0.14,Percentage,309.65
ORD-000010,LINE-000019,2024-06-23,CUST-009874,NVA-KDN-0023,59759,2024-06-23,2024-06-26,Express,1,388.56,0.15,Percentage,330.28
ORD-000011,LINE-000020,2024-11-10,CUST-017807,NVA-FUR-0032,13007,2024-11-11,2024-11-13,Standard,1,363.76,0.36,Percentage,232.81
ORD-000012,LINE-000021,2024-03-24,CUST-012921,NVA-KDN-0024,17951,2024-03-25,2024-03-30,Standard,2,201.01,0.0,Percentage,402.02
ORD-000012,LINE-000022,2024-03-24,CUST-012921,NVA-DEC-0101,17951,2024-03-25,2024-03-30,Standard,1,180.7,0.06,Percentage,169.86
ORD-000013,LINE-000023,2024-10-04,CUST-007432,NVA-DEC-0123,3523-285,2024-10-05,2024-10-08,Standard,1,130.15,0.0,Percentage,130.15
ORD-000013,LINE-000024,2024-10-04,CUST-007432,NVA-LGT-0061,3523-285,2024-10-05,2024-10-08,Standard,1,132.51,0.04,Percentage,127.21
ORD-000014,LINE-000025,2024-03-27,CUST-001340,NVA-FUR-0036,59146,2024-03-28,2024-03-31,Standard,1,197.74,0.0,Percentage,197.74
ORD-000014,LINE-000026,2024-03-27,CUST-001340,NVA-DEC-0025,59146,2024-03-28,2024-03-31,Standard,1,120.29,0.02,Percentage,117.88
ORD-000014,LINE-000027,2024-03-27,CUST-001340,NVA-LGT-0057,59146,2024-03-28,2024-03-31,Standard,1,261.65,0.0,Percentage,261.65
ORD-000015,LINE-000028,2024-11-05,CUST-011531,NVA-LGT-0067,21382,2024-11-06,2024-11-09,Standard,1,540.78,0.28,Percentage,389.36
ORD-000016,LINE-000029,2024-01-14,CUST-012000,NVA-DEC-0081,3001-992,2024-01-14,2024-01-20,Standard,1,171.91,0.24,Percentage,130.65
ORD-000017,LINE-000030,2024-04-16,CUST-005361,NVA-DEC-0123,3058-292,2024-04-16,2024-04-19,Express,2,140.87,0.07,Percentage,262.02
ORD-000017,LINE-000031,2024-04-16,CUST-005361,NVA-DEC-0009,3058-292,2024-04-16,2024-04-19,Express,1,128.46,0.0,Percentage,128.46
ORD-000017,LINE-000032,2024-04-16,CUST-005361,NVA-TXT-0093,3058-292,2024-04-16,2024-04-19,Express,1,399.73,0.09,Percentage,363.75
ORD-000018,LINE-000033,2024-12-25,CUST-018021,NVA-FUR-0019,57613,2024-12-26,2024-12-30,Express,1,1109.0,0.11,Percentage,987.01
ORD-000019,LINE-000034,2024-06-20,CUST-006542,NVA-LGT-0046,29996,2024-06-22,2024-06-26,Standard,1,282.11,0.19,Percentage,228.51
ORD-000019,LINE-000035,2024-06-20,CUST-006542,NVA-LGT-0021,29996,2024-06-22,2024-06-26,Standard,1,164.88,0.16,Percentage,138.5
ORD-000020,LINE-000036,2024-10-09,CUST-011053,NVA-FUR-0071,38300,2024-10-10,2024-10-12,Standard,1,249.67,0.0,Percentage,249.67
ORD-000020,LINE-000037,2024-10-09,CUST-011053,NVA-LGT-0052,38300,2024-10-10,2024-10-12,Standard,1,79.0,0.0,Percentage,79.0
ORD-000021,LINE-000038,2024-03-27,CUST-016275,NVA-FUR-0010,1009-453,2024-03-28,2024-04-02,Express,1,689.64,0.0,Percentage,689.64
ORD-000022,LINE-000039,2024-03-17,CUST-010147,NVA-LGT-0063,59642,2024-03-18,2024-03-21,Standard,2,416.75,0.0,Percentage,833.5
ORD-000023,LINE-000040,2024-04-24,CUST-006268,NVA-KDN-0060,13011,2024-04-25,2024-04-27,Standard,1,440.52,0.09,Percentage,400.87
ORD-000024,LINE-000041,2024-03-09,CUST-004848,NVA-DEC-0016,42505,2024-03-09,2024-03-12,Standard,1,272.22,0.04,Percentage,261.33
ORD-000025,LINE-000042,2024-07-26,CUST-001823,NVA-KDN-0006,50205,2024-07-27,2024-08-02,Standard,4,386.61,0.0,Percentage,1546.44
ORD-000025,LINE-000043,2024-07-26,CUST-001823,NVA-KDN-0053,50205,2024-07-27,2024-08-02,Standard,2,168.73,0.05,Percentage,320.59
ORD-000026,LINE-000044,2024-07-29,CUST-018186,NVA-DEC-0074,50021,2024-07-30,2024-08-05,Standard,1,110.5,0.05,Percentage,104.98
ORD-000027,LINE-000045,2024-04-25,CUST-013096,NVA-FUR-0035,49438,2024-04-26,2024-05-01,Standard,1,312.84,0.0,Percentage,312.84
ORD-000027,LINE-000046,2024-04-25,CUST-013096,NVA-TXT-0052,49438,2024-04-26,2024-05-01,Standard,1,196.16,0.06,Percentage,184.39
ORD-000028,LINE-000047,2024-01-27,CUST-011582,NVA-LGT-0029,74405,2024-01-28,2024-02-01,Express,1,243.92,0.11,Percentage,217.09
