postal_code,city,region,country
75001,Paris,Île-de-France,FRANCE
69001,Lyon,Auvergne-Rhône-Alpes,FRANCE
13001,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33654,Bordeaux,Nouvelle-Aquitaine,FRANCE
31114,Toulouse,Occitanie,FRANCE
44025,Nantes,"Pays de la Loire",FRANCE
59759,Lille,Hauts-de-France,FRANCE
06281,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67250,Strasbourg,"Grand Est",FRANCE
34228,Montpellier,Occitanie,FRANCE
35142,Rennes,Bretagne,FRANCE
38754,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21104,Dijon,Bourgogne-Franche-Comté,FRANCE
51692,Reims,"Grand Est",FRANCE
76758,Rouen,Normandie,FRANCE
37913,Tours,"Centre-Val de Loire",FRANCE
49558,Angers,"Pays de la Loire",FRANCE
63089,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13604,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29432,Brest,Bretagne,FRANCE
14032,Caen,Normandie,FRANCE
45030,Orléans,"Centre-Val de Loire",FRANCE
57095,Metz,"Grand Est",FRANCE
54223,Nancy,"Grand Est",FRANCE
42238,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84517,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74616,Annecy,Auvergne-Rhône-Alpes,FRANCE
17027,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75002,Paris,Île-de-France,FRANCE
69002,Lyon,Auvergne-Rhône-Alpes,FRANCE
13002,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33574,Bordeaux,Nouvelle-Aquitaine,FRANCE
31203,Toulouse,Occitanie,FRANCE
44733,Nantes,"Pays de la Loire",FRANCE
59665,Lille,Hauts-de-France,FRANCE
06718,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67558,Strasbourg,"Grand Est",FRANCE
34429,Montpellier,Occitanie,FRANCE
35225,Rennes,Bretagne,FRANCE
38459,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21603,Dijon,Bourgogne-Franche-Comté,FRANCE
51284,Reims,"Grand Est",FRANCE
76828,Rouen,Normandie,FRANCE
37890,Tours,"Centre-Val de Loire",FRANCE
49006,Angers,"Pays de la Loire",FRANCE
63777,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13825,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29163,Brest,Bretagne,FRANCE
14714,Caen,Normandie,FRANCE
45432,Orléans,"Centre-Val de Loire",FRANCE
57348,Metz,"Grand Est",FRANCE
54284,Nancy,"Grand Est",FRANCE
42159,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84220,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74980,Annecy,Auvergne-Rhône-Alpes,FRANCE
17781,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75003,Paris,Île-de-France,FRANCE
69003,Lyon,Auvergne-Rhône-Alpes,FRANCE
13003,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33344,Bordeaux,Nouvelle-Aquitaine,FRANCE
31104,Toulouse,Occitanie,FRANCE
44094,Nantes,"Pays de la Loire",FRANCE
59389,Lille,Hauts-de-France,FRANCE
06099,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67367,Strasbourg,"Grand Est",FRANCE
34867,Montpellier,Occitanie,FRANCE
35352,Rennes,Bretagne,FRANCE
38618,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21270,Dijon,Bourgogne-Franche-Comté,FRANCE
51826,Reims,"Grand Est",FRANCE
76044,Rouen,Normandie,FRANCE
37747,Tours,"Centre-Val de Loire",FRANCE
49470,Angers,"Pays de la Loire",FRANCE
63549,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13127,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29996,Brest,Bretagne,FRANCE
14944,Caen,Normandie,FRANCE
45387,Orléans,"Centre-Val de Loire",FRANCE
57080,Metz,"Grand Est",FRANCE
54565,Nancy,"Grand Est",FRANCE
42300,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84849,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74643,Annecy,Auvergne-Rhône-Alpes,FRANCE
17633,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75004,Paris,Île-de-France,FRANCE
69004,Lyon,Auvergne-Rhône-Alpes,FRANCE
13004,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33906,Bordeaux,Nouvelle-Aquitaine,FRANCE
31882,Toulouse,Occitanie,FRANCE
44370,Nantes,"Pays de la Loire",FRANCE
59591,Lille,Hauts-de-France,FRANCE
06196,Nice,"Provence-Alpes-Côte d’Azur",FRANCE
67721,Strasbourg,"Grand Est",FRANCE
34071,Montpellier,Occitanie,FRANCE
35046,Rennes,Bretagne,FRANCE
38677,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21233,Dijon,Bourgogne-Franche-Comté,FRANCE
51791,Reims,"Grand Est",FRANCE
76296,Rouen,Normandie,FRANCE
37081,Tours,"Centre-Val de Loire",FRANCE
49875,Angers,"Pays de la Loire",FRANCE
63238,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13887,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29103,Brest,Bretagne,FRANCE
14389,Caen,Normandie,FRANCE
45284,Orléans,"Centre-Val de Loire",FRANCE
57464,Metz,"Grand Est",FRANCE
54650,Nancy,"Grand Est",FRANCE
42854,Saint-Étienne,Auvergne-Rhône-Alpes,FRANCE
84373,Avignon,"Provence-Alpes-Côte d’Azur",FRANCE
74166,Annecy,Auvergne-Rhône-Alpes,FRANCE
17379,"La Rochelle",Nouvelle-Aquitaine,FRANCE
75005,Paris,Île-de-France,FRANCE
69005,Lyon,Auvergne-Rhône-Alpes,FRANCE
13005,Marseille,"Provence-Alpes-Côte d’Azur",FRANCE
33363,Bordeaux,Nouvelle-Aquitaine,FRANCE
31214,Toulouse,Occitanie,FRANCE
44686,Nantes,"Pays de la Loire",FRANCE
59273,Lille,Hauts-de-France,FRANCE
67959,Strasbourg,"Grand Est",FRANCE
34699,Montpellier,Occitanie,FRANCE
35663,Rennes,Bretagne,FRANCE
38073,Grenoble,Auvergne-Rhône-Alpes,FRANCE
21623,Dijon,Bourgogne-Franche-Comté,FRANCE
51650,Reims,"Grand Est",FRANCE
76175,Rouen,Normandie,FRANCE
37546,Tours,"Centre-Val de Loire",FRANCE
49746,Angers,"Pays de la Loire",FRANCE
63250,Clermont-Ferrand,Auvergne-Rhône-Alpes,FRANCE
13167,Aix-en-Provence,"Provence-Alpes-Côte d’Azur",FRANCE
29473,Brest,Bretagne,FRANCE
14388,Caen,Normandie,FRANCE
45276,Orléans,"Centre-Val de Loire",FRANCE
