Expense_ID,Invoice_Date,Department,Cost_Category,Vendor_Name,Amount_Actual,Country
EXP-000001,2025-01-13,Marketing,Paid Search,Google,446.78,France
EXP-000002,2025-01-07,Marketing,Paid Search,Google,135.51,France
EXP-000003,2025-01-10,Marketing,Email Marketing,Klaviyo,654.89,France
EXP-000004,2025-01-27,Marketing,Paid Social,Meta,242.7,France
EXP-000005,2025-01-22,Marketing,Paid Search,Google,181.28,France
EXP-000006,2025-01-11,Marketing,Paid Social,Meta,128.22,France
EXP-000007,2025-01-24,Marketing,Paid Social,Meta,1188.1,France
EXP-000008,2025-01-20,Marketing,Paid Social,Meta,764.61,France
EXP-000009,2025-01-29,Marketing,Paid Social,Meta,640.91,France
EXP-000010,2025-01-18,Marketing,Paid Search,Google,912.05,France
EXP-000011,2025-01-09,Marketing,Paid Search,Google,1076.3,France
EXP-000012,2025-01-17,Marketing,Paid Search,Google,787.64,France
EXP-000013,2025-01-27,Marketing,Paid Search,Google,466.86,France
EXP-000014,2025-01-19,Marketing,Paid Social,Meta,2279.6,France
EXP-000015,2025-01-28,Marketing,Paid Social,Meta,275.38,France
EXP-000016,2025-01-03,Marketing,Paid Search,Google,283.08,France
EXP-000017,2025-01-19,Marketing,Paid Search,Google,269.26,France
EXP-000018,2025-01-07,Marketing,Paid Search,Google,820.64,France
EXP-000019,2025-01-08,Marketing,Paid Search,Google,2393.11,France
EXP-000020,2025-01-04,Marketing,Paid Search,Google,353.07,France
EXP-000021,2025-01-20,Marketing,Paid Search,Google,1102.32,France
EXP-000022,2025-01-16,Marketing,Paid Social,Meta,543.32,France
EXP-000023,2025-01-05,Marketing,Paid Search,Google,1170.54,France
EXP-000024,2025-01-02,Marketing,Paid Search,Google,814.63,France
EXP-000025,2025-01-27,Marketing,Paid Search,Google,591.16,France
EXP-000026,2025-01-20,Marketing,Paid Search,Google,1216.68,France
EXP-000027,2025-01-31,Marketing,Paid Social,Meta,391.66,France
EXP-000028,2025-01-26,Marketing,Paid Social,Meta,1524.7,France
EXP-000029,2025-01-28,Marketing,Email Marketing,Klaviyo,879.5,France
EXP-000030,2025-01-20,Marketing,Paid Search,Google,461.44,France
EXP-000031,2025-01-27,Marketing,Email Marketing,Klaviyo,797.75,France
EXP-000032,2025-01-31,Marketing,Email Marketing,Klaviyo,1016.67,France
EXP-000033,2025-01-11,Marketing,Paid Social,Meta,332.69,France
EXP-000034,2025-01-02,Marketing,Paid Search,Google,1171.6,France
EXP-000035,2025-01-11,Marketing,Email Marketing,Mailchimp,1413.02,France
EXP-000036,2025-01-28,Marketing,Paid Search,Google,549.09,France
EXP-000037,2025-01-18,Marketing,Paid Social,Meta,644.76,France
EXP-000038,2025-01-01,Marketing,Paid Social,Meta,1823.07,France
EXP-000039,2025-01-12,Marketing,Paid Social,Meta,1260.42,France
EXP-000040,2025-01-12,Marketing,Paid Search,Google,701.78,France
EXP-000041,2025-01-31,Marketing,Paid Search,Google,474.37,France
EXP-000042,2025-01-10,Marketing,Paid Social,Meta,539.08,France
EXP-000043,2025-01-26,Marketing,Paid Search,Google,1518.87,France
EXP-000044,2025-01-29,Marketing,Paid Search,Google,547.28,France
EXP-000045,2025-01-21,Marketing,Paid Search,Google,609.9,France
EXP-000046,2025-01-07,Marketing,Email Marketing,Mailchimp,837.78,France
EXP-000047,2025-01-28,Marketing,Paid Search,Google,265.34,France
EXP-000048,2025-01-30,Marketing,Paid Social,Meta,877.95,France
EXP-000049,2025-01-18,Marketing,Paid Social,Meta,345.06,France
EXP-000050,2025-01-16,Marketing,Paid Search,Google,1310.87,France
EXP-000051,2025-01-26,Marketing,Paid Search,Google,1705.86,France
EXP-000052,2025-01-01,Marketing,Paid Social,Meta,294.82,France
EXP-000053,2025-01-23,Marketing,Paid Search,Google,883.5,France
EXP-000054,2025-01-09,Marketing,Paid Search,Google,943.38,France
EXP-000055,2025-01-03,Marketing,Paid Search,Google,608.02,France
EXP-000056,2025-01-27,Marketing,Paid Search,Google,394.24,France
EXP-000057,2025-01-22,Marketing,Paid Search,Google,392.39,France
EXP-000058,2025-01-13,Marketing,Paid Search,Google,428.95,France
EXP-000059,2025-01-01,Marketing,Paid Social,Meta,1387.85,France
EXP-000060,2025-01-22,Marketing,Paid Search,Google,417.81,France
EXP-000061,2025-01-22,Marketing,Paid Social,Meta,701.4,France
EXP-000062,2025-01-18,Marketing,Paid Search,Google,448.56,France
EXP-000063,2025-01-07,Marketing,Paid Social,Meta,553.5,France
EXP-000064,2025-01-16,Marketing,Paid Search,Google,1773.87,France
EXP-000065,2025-01-23,Marketing,Paid Social,Meta,1071.3,France
EXP-000066,2025-01-31,Marketing,Email Marketing,Klaviyo,1055.95,France
EXP-000067,2025-01-01,Marketing,Paid Social,Meta,1779.21,France
EXP-000068,2025-01-15,Marketing,Paid Search,Google,438.78,France
EXP-000069,2025-01-28,Marketing,Paid Social,Meta,607.61,France
EXP-000070,2025-01-18,Marketing,Paid Social,Meta,513.2,France
EXP-000071,2025-01-11,Marketing,Paid Search,Google,1161.32,France
EXP-000072,2025-01-18,Marketing,Paid Search,Google,850.98,France
EXP-000073,2025-01-19,Marketing,Paid Social,Meta,2853.08,France
EXP-000074,2025-01-02,Marketing,Email Marketing,Mailchimp,1187.09,France
EXP-000075,2025-01-01,Marketing,Email Marketing,Mailchimp,730.0,France
EXP-000076,2025-01-25,Marketing,Paid Search,Google,743.57,France
EXP-000077,2025-01-17,Marketing,Paid Search,google,474.09,France
EXP-000078,2025-01-18,Marketing,Paid Search,Google,535.0,France
EXP-000079,2025-01-25,Marketing,Paid Search,Google,137.98,France
EXP-000080,2025-01-30,Marketing,Paid Search,Google,129.18,France
EXP-000081,2025-01-21,Marketing,Paid Social,Meta,1081.28,France
EXP-000082,2025-01-06,Marketing,Paid Search,Google,2830.33,France
EXP-000083,2025-01-29,Marketing,Paid Social,Meta,1106.3,France
EXP-000084,2025-01-27,Marketing,Paid Social,Meta,203.85,France
EXP-000085,2025-01-03,Marketing,Paid Social,Meta,209.75,France
EXP-000086,2025-01-18,Marketing,Paid Social,Meta,790.85,France
EXP-000087,2025-02-18,Marketing,Paid Social,Meta,536.32,France
EXP-000088,2025-02-12,Marketing,Paid Social,Meta,152.57,France
EXP-000089,2025-02-13,Marketing,Paid Social,Meta,557.55,France
EXP-000090,2025-02-08,Marketing,Paid Social,Meta,377.97,France
EXP-000091,2025-02-25,Marketing,Paid Social,Meta,541.81,France
EXP-000092,2025-02-01,Marketing,Paid Social,Meta,281.3,France
EXP-000093,2025-02-25,Marketing,Paid Search,Google,959.12,France
EXP-000094,2025-02-15,Marketing,Paid Search,Google,1182.27,France
EXP-000095,2025-02-21,Marketing,Paid Search,Google,1069.29,France
EXP-000096,2025-02-09,Marketing,Paid Search,Google,568.65,France
EXP-000097,2025-02-23,Marketing,Paid Social,Meta,1254.5,France
EXP-000098,2025-02-15,Marketing,Paid Social,Meta,334.43,France
EXP-000099,2025-02-26,Marketing,Paid Search,Google,766.04,France
EXP-000100,2025-02-03,Marketing,Paid Search,Google,366.12,France
EXP-000101,2025-02-10,Marketing,Paid Search,Google,712.56,France
EXP-000102,2025-02-21,Marketing,Paid Search,Google,1275.86,France
EXP-000103,2025-02-06,Marketing,Paid Search,Google,1350.35,France
EXP-000104,2025-02-15,Marketing,Paid Social,Meta,1319.2,France
EXP-000105,2025-02-16,Marketing,Paid Search,Google,2093.92,France
