Marketing_ID,Date,Country,Channel,Campaign_ID,Campaign_Name,Spend,Impressions,Clicks
MKT-000001,2024-01-01,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,571.11,31253,1954
MKT-000002,2024-01-01,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,964.10,18625,730
MKT-000003,2024-01-01,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,1027.49,55172,1507
MKT-000004,2024-01-01,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,78.19,10190,480
MKT-000005,2024-01-01,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,186.78,3032,124
MKT-000006,2024-01-01,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,98.88,4749,115
MKT-000007,2024-01-01,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,131.52,9115,422
MKT-000008,2024-01-01,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,300.70,6209,163
MKT-000009,2024-01-01,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,238.52,9076,186
MKT-000010,2024-01-02,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,418.66,42473,2715
MKT-000011,2024-01-02,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1116.13,24027,601
MKT-000012,2024-01-02,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,700.57,28958,794
MKT-000013,2024-01-02,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,64.54,5200,327
MKT-000014,2024-01-02,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,186.82,8082,225
MKT-000015,2024-01-02,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,94.33,6731,137
MKT-000016,2024-01-02,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,119.56,4743,256
MKT-000017,2024-01-02,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,334.27,7013,261
MKT-000018,2024-01-02,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,254.30,11089,285
MKT-000019,2024-01-03,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,413.39,23509,1708
MKT-000020,2024-01-03,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,974.57,25947,791
MKT-000021,2024-01-03,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,850.34,52998,1255
MKT-000022,2024-01-03,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,65.18,2673,167
MKT-000023,2024-01-03,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,186.18,4119,171
MKT-000024,2024-01-03,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,101.74,8558,163
MKT-000025,2024-01-03,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,142.00,15244,862
MKT-000026,2024-01-03,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,361.77,3674,157
MKT-000027,2024-01-03,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,278.17,25409,332
MKT-000028,2024-01-04,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,476.84,138844,7159
MKT-000029,2024-01-04,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,1116.71,40026,1428
MKT-000030,2024-01-04,France,Meta Ads,CAMP-FR-MTA-002,Home Refresh FR,752.57,44985,1023
MKT-000031,2024-01-04,Portugal,Email Marketing,CAMP-PT-EML-009,Flash Sale PT,88.28,4617,251
MKT-000032,2024-01-04,Portugal,Google Ads,CAMP-PT-GGL-007,Seasonal Search PT,163.55,3465,89
MKT-000033,2024-01-04,Portugal,Meta Ads,CAMP-PT-MTA-008,Home Refresh PT,137.17,12794,166
MKT-000034,2024-01-04,Spain,Email Marketing,CAMP-ES-EML-006,Flash Sale ES,133.30,10395,532
MKT-000035,2024-01-04,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,271.22,13121,384
MKT-000036,2024-01-04,Spain,Meta Ads,CAMP-ES-MTA-005,Home Refresh ES,252.15,9826,194
