Conversion_ID,Order_ID,Order_Date,Country,Channel,Campaign_ID,Campaign_Name,Customer_ID,Conversion_Type,Attributed_Revenue
CONV-000001,ORD-010932,2024-07-29,France,Email Marketing,CAMP-FR-EML-020,Loyal Customer Offer FR,CUST-017451,Purchase,1844.20
CONV-000002,ORD-012525,2024-11-25,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-009937,Purchase,442.96
CONV-000003,ORD-001890,2024-07-05,France,Organic Search,,,CUST-014539,Purchase,684.62
CONV-000004,ORD-003122,2024-05-14,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-000923,Purchase,365.80
CONV-000005,ORD-009533,2024-01-31,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-018212,Purchase,393.90
CONV-000006,ORD-005730,2024-09-08,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-001441,Assisted Purchase,840.93
CONV-000007,ORD-010722,2024-04-25,Portugal,Direct,,,CUST-012723,Purchase,1308.41
CONV-000008,ORD-000763,2024-05-22,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-004942,Assisted Purchase,631.71
CONV-000009,ORD-008467,2024-10-10,France,Organic Search,,,CUST-018225,Purchase,287.81
CONV-000010,ORD-012662,2024-04-15,France,Organic Search,,,CUST-018927,Purchase,98.01
CONV-000011,ORD-008486,2024-07-13,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-006274,Purchase,861.58
CONV-000012,ORD-012969,2024-11-25,France,Organic Search,,,CUST-014072,Purchase,3430.71
CONV-000013,ORD-008314,2024-12-27,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-015930,Purchase,1221.49
CONV-000014,ORD-000343,2024-11-17,Portugal,Meta Ads,CAMP-PT-MTA-017,Black Friday Campaign PT,CUST-003414,Purchase,491.33
CONV-000015,ORD-009106,2024-10-27,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-018172,Assisted Purchase,343.77
CONV-000016,ORD-004766,2024-06-10,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-015650,Assisted Purchase,872.32
CONV-000017,ORD-012033,2024-04-05,France,Google Ads,CAMP-FR-GGL-047,Christmas Search FR,CUST-006317,Purchase,645.14
CONV-000018,ORD-006531,2024-01-07,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-008997,Purchase,1173.50
CONV-000019,ORD-009849,2024-07-19,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-001016,Purchase,1990.06
CONV-000020,ORD-008181,2024-09-20,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-014194,Purchase,875.27
CONV-000021,ORD-013366,2024-08-16,France,Google Ads,CAMP-FR-GGL-034,Furniture Search FR,CUST-018111,Assisted Purchase,517.56
CONV-000022,ORD-003452,2024-04-24,Spain,Email Marketing,CAMP-ES-EML-015,Seasonal Promotion ES,CUST-013670,Assisted Purchase,4182.85
CONV-000023,ORD-002341,2024-12-19,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-006071,Purchase,499.04
CONV-000024,ORD-008077,2024-12-03,France,Meta Ads,CAMP-FR-MTA-035,Christmas Inspiration FR,CUST-012903,Purchase,318.04
CONV-000025,ORD-004282,2024-11-02,France,Organic Search,,,CUST-000561,Purchase,482.58
CONV-000026,ORD-008375,2024-05-09,Portugal,Meta Ads,CAMP-PT-MTA-025,Summer Living PT,CUST-016635,Purchase,782.47
CONV-000027,ORD-013043,2024-08-02,France,Organic Search,,,CUST-005534,Purchase,810.18
CONV-000028,ORD-008664,2024-01-30,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-016957,Purchase,1199.92
CONV-000029,ORD-004126,2024-01-25,Spain,Google Ads,CAMP-ES-GGL-004,Seasonal Search ES,CUST-017636,Assisted Purchase,2270.36
CONV-000030,ORD-005992,2024-07-26,France,Email Marketing,CAMP-FR-EML-028,Product Launch FR,CUST-008663,Assisted Purchase,1213.58
CONV-000031,ORD-005137,2024-06-01,France,Google Ads,CAMP-FR-GGL-001,Seasonal Search FR,CUST-017782,Purchase,820.29
CONV-000032,ORD-005629,2024-09-27,France,Organic Search,,,CUST-007245,Purchase,945.67
CONV-000033,ORD-004814,2024-05-22,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-010305,Purchase,2053.20
CONV-000034,ORD-000547,2024-03-16,France,Organic Search,,,CUST-014128,Assisted Purchase,377.01
CONV-000035,ORD-000459,2024-10-19,France,Meta Ads,CAMP-FR-MTA-019,Summer Living FR,CUST-009003,Purchase,1326.19
CONV-000036,ORD-008309,2024-04-19,France,Direct,,,CUST-016295,Purchase,1227.99
CONV-000037,ORD-002997,2024-10-17,France,Google Ads,CAMP-FR-GGL-027,Brand Search FR,CUST-015456,Assisted Purchase,835.23
CONV-000038,ORD-003635,2024-08-12,Portugal,Direct,,,CUST-014305,Purchase,633.86
CONV-000039,ORD-004615,2024-01-22,France,Email Marketing,CAMP-FR-EML-003,Flash Sale FR,CUST-017647,Purchase,261.29
CONV-000040,ORD-002075,2024-11-09,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-008402,Purchase,3238.66
CONV-000041,ORD-003592,2024-11-24,France,Meta Ads,CAMP-FR-MTA-039,Black Friday Campaign FR,CUST-019078,Purchase,717.02
CONV-000042,ORD-009615,2024-05-24,France,Organic Search,,,CUST-004451,Purchase,236.88
CONV-000043,ORD-004671,2024-06-02,France,Organic Search,,,CUST-015679,Purchase,603.27
