Return_ID,Order_ID,Order_Line_ID,Return_Date,Return_Reason,Return_Amount,Return_Quantity
RET-000001,ORD-001733,LINE-003073,2024-10-15,Damaged Product,384.91,1
RET-000002,ORD-002424,LINE-004329,2024-05-18,Customer Changed Mind,965.04,3
RET-000003,ORD-009907,LINE-017830,2024-12-13,Product Not As Expected,397.75,1
RET-000004,ORD-005814,LINE-010399,2024-07-23,Product Not As Expected,306.77,1
RET-000005,ORD-002924,LINE-005249,2024-08-13,Customer Changed Mind,406.45,1
RET-000006,ORD-010203,LINE-018373,2024-12-26,Customer Changed Mind,229.65,2
RET-000007,ORD-013337,LINE-024033,2024-03-27,Damaged Product,991.47,2
RET-000008,ORD-012543,LINE-022601,2024-07-20,Product Not As Expected,418.43,1
RET-000009,ORD-007174,LINE-012807,2024-12-20,Wrong Product,219.21,1
RET-000010,ORD-011842,LINE-021340,2024-04-13,Product Not As Expected,461.04,1
RET-000011,ORD-013382,LINE-024112,2024-06-13,Customer Changed Mind,167.52,1
RET-000012,ORD-000735,LINE-001282,2024-04-13,Customer Changed Mind,489.98,1
RET-000013,ORD-012000,LINE-021605,2024-02-15,Delivery Issue,150.08,1
RET-000014,ORD-010623,LINE-019134,2024-06-07,Damaged Product,101.27,2
RET-000015,ORD-011259,LINE-020299,2024-02-06,Product Not As Expected,110.6,1
RET-000016,ORD-011301,LINE-020375,2024-12-13,Delivery Issue,264.14,1
RET-000017,ORD-008167,LINE-014641,2024-12-10,Product Not As Expected,167.28,1
RET-000018,ORD-004927,LINE-008842,2024-11-22,Product Not As Expected,358.11,1
RET-000019,ORD-006623,LINE-011827,2024-03-13,Product Not As Expected,181.45,1
RET-000020,ORD-007954,LINE-014256,2024-10-07,Product Not As Expected,294.26,1
RET-000021,ORD-006911,LINE-012339,2024-10-11,Damaged Product,181.1,1
RET-000022,ORD-012330,LINE-022212,2024-07-09,Product Not As Expected,174.08,1
RET-000023,ORD-008746,LINE-015711,2024-07-11,Customer Changed Mind,607.99,1
RET-000024,ORD-008425,LINE-015119,2024-09-07,Delivery Issue,257.97,1
RET-000025,ORD-007530,LINE-013502,2024-12-25,Product Not As Expected,451.13,1
RET-000026,ORD-012960,LINE-023365,2024-03-24,Customer Changed Mind,159.49,1
RET-000027,ORD-010114,LINE-018218,2024-05-25,Delivery Issue,169.44,2
RET-000028,ORD-000798,LINE-001391,2024-09-01,Customer Changed Mind,817.24,2
RET-000029,ORD-000650,LINE-001131,2025-01-03,Customer Changed Mind,119.2,1
RET-000030,ORD-005821,LINE-010408,2025-01-26,Product Not As Expected,2302.79,2
RET-000031,ORD-004173,LINE-007497,2024-09-07,Customer Changed Mind,254.08,1
RET-000032,ORD-012638,LINE-022781,2024-10-29,Damaged Product,125.35,1
RET-000033,ORD-003864,LINE-006951,2024-03-01,Product Not As Expected,103.48,1
RET-000034,ORD-005857,LINE-010471,2024-07-28,Customer Changed Mind,207.05,1
RET-000035,ORD-009914,LINE-017847,2024-10-13,Product Not As Expected,284.52,1
RET-000036,ORD-000570,LINE-000988,2024-09-02,Product Not As Expected,287.18,1
RET-000037,ORD-007049,LINE-012590,2024-04-15,Wrong Product,143.64,1
RET-000038,ORD-004305,LINE-007726,2024-09-26,Wrong Product,589.57,1
RET-000039,ORD-012279,LINE-022114,2024-08-21,Product Not As Expected,162.88,1
RET-000040,ORD-003898,LINE-007013,2024-09-07,Customer Changed Mind,1005.21,1
RET-000041,ORD-005421,LINE-009711,2024-04-16,Product Not As Expected,210.86,1
RET-000042,ORD-013191,LINE-023771,2025-01-13,Delivery Issue,226.56,1
RET-000043,ORD-007453,LINE-013342,2024-04-05,Customer Changed Mind,115.87,1
RET-000044,ORD-006365,LINE-011401,2024-03-30,Product Not As Expected,284.89,1
RET-000045,ORD-005670,LINE-010167,2024-10-17,Delivery Issue,487.27,3
RET-000046,ORD-006238,LINE-011172,2025-01-14,Customer Changed Mind,110.78,1
RET-000047,ORD-012349,LINE-022242,2025-01-07,Delivery Issue,389.98,1
RET-000048,ORD-010863,LINE-019566,2024-07-23,Damaged Product,283.11,1
RET-000049,ORD-012705,LINE-022899,2024-03-18,Customer Changed Mind,814.54,2
RET-000050,ORD-009856,LINE-017731,2025-01-02,Customer Changed Mind,52.26,1
RET-000051,ORD-002608,LINE-004659,2024-08-24,Product Not As Expected,454.68,1
RET-000052,ORD-002259,LINE-004029,2024-03-29,Damaged Product,411.36,1
RET-000053,ORD-008009,LINE-014359,2024-12-13,Product Not As Expected,39.71,1
RET-000054,ORD-013307,LINE-023981,2024-05-15,Wrong Product,577.86,2
RET-000055,ORD-007246,LINE-012935,2024-03-24,Damaged Product,549.03,1
RET-000056,ORD-003605,LINE-006472,2024-02-24,Customer Changed Mind,755.3,3
RET-000057,ORD-006640,LINE-011856,2025-01-21,Customer Changed Mind,121.09,1
RET-000058,ORD-008176,LINE-014657,2024-07-25,Product Not As Expected,153.36,1
RET-000059,ORD-004804,LINE-008625,2024-08-24,Damaged Product,201.67,1
RET-000060,ORD-011579,LINE-020873,2024-05-10,Customer Changed Mind,236.94,1
RET-000061,ORD-011515,LINE-020762,2024-09-10,Customer Changed Mind,357.01,1
RET-000062,ORD-008211,LINE-014731,2024-08-14,Damaged Product,474.98,1
RET-000063,ORD-011817,LINE-021290,2024-09-26,Customer Changed Mind,1517.93,1
RET-000064,ORD-009619,LINE-017283,2024-07-16,Customer Changed Mind,492.64,1
RET-000065,ORD-002416,LINE-004319,2024-03-15,Product Not As Expected,862.02,2
RET-000066,ORD-002888,LINE-005183,2024-07-12,Customer Changed Mind,326.77,1
RET-000067,ORD-011185,LINE-020161,2024-12-08,Product Not As Expected,254.91,1
RET-000068,ORD-010512,LINE-018931,2024-05-15,Customer Changed Mind,280.56,1
RET-000069,ORD-001115,LINE-001964,2024-08-02,Damaged Product,367.14,1
RET-000070,ORD-005774,LINE-010336,2024-12-23,Customer Changed Mind,144.41,1
RET-000071,ORD-000632,LINE-001097,2024-05-23,Product Not As Expected,612.86,2
RET-000072,ORD-005388,LINE-009655,2024-02-24,Damaged Product,335.26,2
RET-000073,ORD-008959,LINE-016094,2024-05-16,Damaged Product,125.57,1
RET-000074,ORD-010492,LINE-018893,2024-11-10,Wrong Product,243.8,1
RET-000075,ORD-010265,LINE-018484,2024-04-10,Damaged Product,187.73,1
RET-000076,ORD-010314,LINE-018570,2024-01-13,Delivery Issue,244.81,2
RET-000077,ORD-008346,LINE-014970,2024-04-10,Customer Changed Mind,668.55,1
RET-000078,ORD-010136,LINE-018265,2024-08-06,Customer Changed Mind,152.33,3
RET-000079,ORD-007518,LINE-013479,2024-10-06,Wrong Product,230.62,1
RET-000080,ORD-001765,LINE-003129,2024-01-23,Wrong Product,110.22,1
RET-000081,ORD-011738,LINE-021146,2024-02-10,Damaged Product,340.21,1
RET-000082,ORD-004608,LINE-008267,2025-01-08,Wrong Product,1716.08,3
RET-000083,ORD-002456,LINE-004390,2024-09-23,Damaged Product,864.03,2
RET-000084,ORD-006576,LINE-011749,2024-05-11,Damaged Product,448.76,1
RET-000085,ORD-000958,LINE-001679,2024-02-07,Customer Changed Mind,210.31,2
RET-000086,ORD-003754,LINE-006750,2024-12-08,Customer Changed Mind,57.77,1
RET-000087,ORD-000379,LINE-000661,2024-11-16,Delivery Issue,181.72,1
RET-000088,ORD-009357,LINE-016831,2024-12-24,Product Not As Expected,280.34,1
RET-000089,ORD-006154,LINE-011014,2024-10-07,Damaged Product,1270.48,2
