budget_month,country,budget_type,budget_amount,actual_amount,variance_amount
2025-01-01,FRANCE,revenue,680485.13,644477.48,-36007.65
2025-02-01,FRANCE,revenue,484413.15,427287.04,-57126.11
2025-03-01,FRANCE,revenue,530547.73,564823.55,34275.82
2025-04-01,FRANCE,revenue,553615.02,605010.47,51395.45
2025-05-01,FRANCE,revenue,576682.32,612640.24,35957.92
2025-06-01,FRANCE,revenue,622816.90,654791.59,31974.69
2025-07-01,FRANCE,revenue,605516.43,591209.19,-14307.24
2025-08-01,FRANCE,revenue,484413.15,450487.01,-33926.14
2025-09-01,FRANCE,revenue,553615.02,556645.84,3030.82
2025-10-01,FRANCE,revenue,593982.79,614618.35,20635.56
2025-11-01,FRANCE,revenue,818888.89,717206.96,-101681.93
2025-12-01,FRANCE,revenue,865023.47,886912.54,21889.07
2025-01-01,SPAIN,revenue,170506.60,103731.49,-66775.11
2025-02-01,SPAIN,revenue,124412.02,76975.30,-47436.72
2025-03-01,SPAIN,revenue,146231.08,85647.00,-60584.08
2025-04-01,SPAIN,revenue,173396.54,241328.19,67931.65
2025-05-01,SPAIN,revenue,191458.68,253728.16,62269.48
2025-06-01,SPAIN,revenue,214578.22,277328.85,62750.63
2025-07-01,SPAIN,revenue,218100.33,221717.22,3616.89
2025-08-01,SPAIN,revenue,179031.93,179202.41,170.48
2025-09-01,SPAIN,revenue,208075.85,250580.87,42505.02
2025-10-01,SPAIN,revenue,228829.24,258189.59,29360.35
2025-11-01,SPAIN,revenue,323167.80,291580.97,-31586.83
2025-12-01,SPAIN,revenue,352211.71,370459.05,18247.34
2025-01-01,PORTUGAL,revenue,101564.95,88212.87,-13352.08
2025-02-01,PORTUGAL,revenue,72300.47,66764.27,-5536.20
2025-03-01,PORTUGAL,revenue,79186.23,86826.02,7639.79
2025-04-01,PORTUGAL,revenue,82629.11,98517.07,15887.96
2025-05-01,PORTUGAL,revenue,86071.99,83764.64,-2307.35
2025-06-01,PORTUGAL,revenue,92957.75,90029.76,-2927.99
2025-07-01,PORTUGAL,revenue,90375.59,82856.75,-7518.84
2025-08-01,PORTUGAL,revenue,72300.47,62565.81,-9734.66
2025-09-01,PORTUGAL,revenue,82629.11,82886.76,257.65
2025-10-01,PORTUGAL,revenue,88654.15,104441.06,15786.91
2025-11-01,PORTUGAL,revenue,122222.22,109237.54,-12984.68
2025-12-01,PORTUGAL,revenue,129107.96,107317.26,-21790.70
2025-01-01,FRANCE,marketing,70566.11,71458.14,892.03
2025-02-01,FRANCE,marketing,50316.71,50718.30,401.59
2025-03-01,FRANCE,marketing,55225.65,54766.44,-459.21
2025-04-01,FRANCE,marketing,61361.84,61094.56,-267.28
2025-05-01,FRANCE,marketing,62589.07,59764.05,-2825.02
2025-06-01,FRANCE,marketing,67498.02,67078.62,-419.40
2025-07-01,FRANCE,marketing,64429.93,65574.03,1144.10
2025-08-01,FRANCE,marketing,50316.71,47396.04,-2920.67
2025-09-01,FRANCE,marketing,58293.75,57688.30,-605.45
2025-10-01,FRANCE,marketing,62589.07,63085.15,496.08
2025-11-01,FRANCE,marketing,88974.66,88642.61,-332.05
2025-12-01,FRANCE,marketing,82838.48,79456.53,-3381.95
2025-01-01,SPAIN,marketing,23287.27,22330.66,-956.61
2025-02-01,SPAIN,marketing,17019.95,15774.71,-1245.24
2025-03-01,SPAIN,marketing,20047.30,21486.06,1438.76
2025-04-01,SPAIN,marketing,25312.24,29174.50,3862.26
2025-05-01,SPAIN,marketing,27367.60,31879.29,4511.69
2025-06-01,SPAIN,marketing,30627.82,33711.97,3084.15
2025-07-01,SPAIN,marketing,30564.54,35224.86,4660.32
2025-08-01,SPAIN,marketing,24492.13,27551.85,3059.72
2025-09-01,SPAIN,marketing,28855.96,32375.29,3519.33
2025-10-01,SPAIN,marketing,31756.74,37927.19,6170.45
2025-11-01,SPAIN,marketing,46245.47,51510.17,5264.70
2025-12-01,SPAIN,marketing,44422.98,52141.95,7718.97
2025-01-01,PORTUGAL,marketing,11381.63,10680.01,-701.62
2025-02-01,PORTUGAL,marketing,8115.60,8461.79,346.19
2025-03-01,PORTUGAL,marketing,8907.36,9602.16,694.80
2025-04-01,PORTUGAL,marketing,9897.07,10670.34,773.27
2025-05-01,PORTUGAL,marketing,10095.01,9540.10,-554.91
2025-06-01,PORTUGAL,marketing,10886.78,11282.65,395.87
2025-07-01,PORTUGAL,marketing,10391.92,9756.48,-635.44
2025-08-01,PORTUGAL,marketing,8115.60,8757.62,642.02
2025-09-01,PORTUGAL,marketing,9402.22,9169.74,-232.48
2025-10-01,PORTUGAL,marketing,10095.01,9502.66,-592.35
2025-11-01,PORTUGAL,marketing,14350.75,13542.02,-808.73
2025-12-01,PORTUGAL,marketing,13361.05,13877.70,516.65
2025-01-01,FRANCE,logistics,50217.39,47364.41,-2852.98
2025-02-01,FRANCE,logistics,41130.43,41155.15,24.72
2025-03-01,FRANCE,logistics,44000.00,44078.21,78.21
2025-04-01,FRANCE,logistics,45913.04,47223.86,1310.82
2025-05-01,FRANCE,logistics,47826.09,44440.61,-3385.48
2025-06-01,FRANCE,logistics,49739.13,47887.01,-1852.12
2025-07-01,FRANCE,logistics,49739.13,47740.92,-1998.21
2025-08-01,FRANCE,logistics,44000.00,46975.89,2975.89
2025-09-01,FRANCE,logistics,46869.57,48607.60,1738.03
2025-10-01,FRANCE,logistics,48782.61,50829.06,2046.45
2025-11-01,FRANCE,logistics,61217.39,63834.23,2616.84
2025-12-01,FRANCE,logistics,64565.22,63006.87,-1558.35
2025-01-01,SPAIN,logistics,13342.35,13865.27,522.92
2025-02-01,SPAIN,logistics,11201.22,11633.78,432.56
2025-03-01,SPAIN,logistics,12859.49,13590.32,730.83
2025-04-01,SPAIN,logistics,15248.40,16836.64,1588.24
2025-05-01,SPAIN,logistics,16836.78,18810.29,1973.51
2025-06-01,SPAIN,logistics,18171.02,20452.46,2281.44
2025-07-01,SPAIN,logistics,18996.97,21072.21,2075.24
2025-08-01,SPAIN,logistics,17243.40,19048.97,1805.57
2025-09-01,SPAIN,logistics,18679.30,20206.20,1526.90
2025-10-01,SPAIN,logistics,19927.76,22297.72,2369.96
2025-11-01,SPAIN,logistics,25617.32,28754.01,3136.69
2025-12-01,SPAIN,logistics,27875.99,30157.53,2281.54
2025-01-01,PORTUGAL,logistics,7608.70,7502.56,-106.14
2025-02-01,PORTUGAL,logistics,6231.88,6350.13,118.25
2025-03-01,PORTUGAL,logistics,6666.67,6722.99,56.32
2025-04-01,PORTUGAL,logistics,6956.52,6985.82,29.30
2025-05-01,PORTUGAL,logistics,7246.38,7526.25,279.87
2025-06-01,PORTUGAL,logistics,7536.23,7750.81,214.58
2025-07-01,PORTUGAL,logistics,7536.23,7326.41,-209.82
2025-08-01,PORTUGAL,logistics,6666.67,6565.64,-101.03
2025-09-01,PORTUGAL,logistics,7101.45,7272.61,171.16
2025-10-01,PORTUGAL,logistics,7391.30,7362.40,-28.90
2025-11-01,PORTUGAL,logistics,9275.36,9227.64,-47.72
2025-12-01,PORTUGAL,logistics,9782.61,10058.80,276.19
2025-01-01,FRANCE,operations,32606.56,31623.40,-983.16
2025-02-01,FRANCE,operations,29409.84,27787.74,-1622.10
2025-03-01,FRANCE,operations,30688.52,30838.99,150.47
2025-04-01,FRANCE,operations,31967.21,34349.38,2382.17
2025-05-01,FRANCE,operations,31967.21,32912.91,945.70
2025-06-01,FRANCE,operations,32926.23,34342.76,1416.53
2025-07-01,FRANCE,operations,32926.23,32452.60,-473.63
2025-08-01,FRANCE,operations,30688.52,31936.41,1247.89
2025-09-01,FRANCE,operations,31327.87,31774.27,446.40
2025-10-01,FRANCE,operations,31967.21,31679.94,-287.27
2025-11-01,FRANCE,operations,35803.28,37086.35,1283.07
2025-12-01,FRANCE,operations,37721.32,35342.18,-2379.14
2025-01-01,SPAIN,operations,9219.16,9599.97,380.81
2025-02-01,SPAIN,operations,8523.20,8983.86,460.66
2025-03-01,SPAIN,operations,9544.54,10230.40,685.86
2025-04-01,SPAIN,operations,11297.99,12020.16,722.17
2025-05-01,SPAIN,operations,11975.87,12765.36,789.49
2025-06-01,SPAIN,operations,12800.62,13803.47,1002.85
2025-07-01,SPAIN,operations,13382.47,14365.69,983.22
2025-08-01,SPAIN,operations,12798.36,13918.15,1119.79
2025-09-01,SPAIN,operations,13286.43,14218.93,932.50
2025-10-01,SPAIN,operations,13896.53,15228.73,1332.20
2025-11-01,SPAIN,operations,15943.72,17081.90,1138.18
2025-12-01,SPAIN,operations,17331.11,18748.22,1417.11
2025-01-01,PORTUGAL,operations,5016.39,5317.61,301.22
2025-02-01,PORTUGAL,operations,4524.59,4714.12,189.53
2025-03-01,PORTUGAL,operations,4721.31,4894.06,172.75
2025-04-01,PORTUGAL,operations,4918.03,5167.27,249.24
2025-05-01,PORTUGAL,operations,4918.03,4735.44,-182.59
2025-06-01,PORTUGAL,operations,5065.57,4903.40,-162.17
2025-07-01,PORTUGAL,operations,5065.57,5274.64,209.07
2025-08-01,PORTUGAL,operations,4721.31,4767.73,46.42
2025-09-01,PORTUGAL,operations,4819.67,5013.47,193.80
2025-10-01,PORTUGAL,operations,4918.03,5246.58,328.55
2025-11-01,PORTUGAL,operations,5508.20,5644.26,136.06
2025-12-01,PORTUGAL,operations,5803.30,6190.42,387.12
2025-01-01,FRANCE,"customer service",17390.16,17278.16,-112.00
2025-02-01,FRANCE,"customer service",15685.25,15001.41,-683.84
2025-03-01,FRANCE,"customer service",16367.21,15264.10,-1103.11
2025-04-01,FRANCE,"customer service",17049.18,18386.36,1337.18
2025-05-01,FRANCE,"customer service",17049.18,16635.30,-413.88
2025-06-01,FRANCE,"customer service",17560.66,16995.36,-565.30
2025-07-01,FRANCE,"customer service",17560.66,18917.44,1356.78
2025-08-01,FRANCE,"customer service",16367.21,16861.68,494.47
2025-09-01,FRANCE,"customer service",16708.20,17398.81,690.61
2025-10-01,FRANCE,"customer service",17049.18,18232.50,1183.32
2025-11-01,FRANCE,"customer service",19095.08,18320.36,-774.72
2025-12-01,FRANCE,"customer service",20118.03,19190.59,-927.44
2025-01-01,SPAIN,"customer service",4916.88,4606.50,-310.38
2025-02-01,SPAIN,"customer service",4545.71,4502.02,-43.69
2025-03-01,SPAIN,"customer service",5090.42,4694.20,-396.22
2025-04-01,SPAIN,"customer service",6025.59,6267.35,241.76
2025-05-01,SPAIN,"customer service",6387.13,6627.53,240.40
2025-06-01,SPAIN,"customer service",6827.00,7288.31,461.31
2025-07-01,SPAIN,"customer service",7137.32,7403.94,266.62
2025-08-01,SPAIN,"customer service",6825.79,7107.77,281.98
2025-09-01,SPAIN,"customer service",7086.10,7501.74,415.64
2025-10-01,SPAIN,"customer service",7411.48,7910.04,498.56
2025-11-01,SPAIN,"customer service",8503.32,8967.88,464.56
2025-12-01,SPAIN,"customer service",9243.26,9636.62,393.36
2025-01-01,PORTUGAL,"customer service",2675.41,2486.22,-189.19
2025-02-01,PORTUGAL,"customer service",2413.11,2430.77,17.66
2025-03-01,PORTUGAL,"customer service",2518.03,2709.29,191.26
2025-04-01,PORTUGAL,"customer service",2622.95,2540.08,-82.87
2025-05-01,PORTUGAL,"customer service",2622.95,2444.67,-178.28
2025-06-01,PORTUGAL,"customer service",2701.64,2597.65,-103.99
2025-07-01,PORTUGAL,"customer service",2701.64,2536.30,-165.34
2025-08-01,PORTUGAL,"customer service",2518.03,2571.02,52.99
2025-09-01,PORTUGAL,"customer service",2570.49,2512.19,-58.30
2025-10-01,PORTUGAL,"customer service",2622.95,2689.23,66.28
2025-11-01,PORTUGAL,"customer service",2937.70,2908.22,-29.48
2025-12-01,PORTUGAL,"customer service",3095.10,3011.36,-83.74
2025-01-01,CORPORATE,it,26666.67,25794.00,-872.67
2025-02-01,CORPORATE,it,26666.67,26251.78,-414.89
2025-03-01,CORPORATE,it,26666.67,26618.31,-48.36
2025-04-01,CORPORATE,it,26666.67,25461.22,-1205.45
2025-05-01,CORPORATE,it,26666.67,25580.64,-1086.03
2025-06-01,CORPORATE,it,26666.67,26158.22,-508.45
2025-07-01,CORPORATE,it,26666.67,26432.23,-234.44
2025-08-01,CORPORATE,it,26666.67,25151.63,-1515.04
2025-09-01,CORPORATE,it,26666.67,25825.81,-840.86
2025-10-01,CORPORATE,it,26666.67,25288.64,-1378.03
2025-11-01,CORPORATE,it,26666.67,25794.71,-871.96
2025-12-01,CORPORATE,it,26666.63,26882.65,216.02
2025-01-01,CORPORATE,hr,20000.00,19059.59,-940.41
2025-02-01,CORPORATE,hr,20000.00,19084.66,-915.34
2025-03-01,CORPORATE,hr,20000.00,21177.76,1177.76
2025-04-01,CORPORATE,hr,20000.00,20856.96,856.96
2025-05-01,CORPORATE,hr,20000.00,20721.46,721.46
2025-06-01,CORPORATE,hr,20000.00,19206.68,-793.32
2025-07-01,CORPORATE,hr,20000.00,19936.09,-63.91
2025-08-01,CORPORATE,hr,20000.00,18669.43,-1330.57
2025-09-01,CORPORATE,hr,20000.00,19885.13,-114.87
2025-10-01,CORPORATE,hr,20000.00,21405.64,1405.64
2025-11-01,CORPORATE,hr,20000.00,20885.51,885.51
2025-12-01,CORPORATE,hr,20000.00,21035.30,1035.30
2025-01-01,CORPORATE,finance,21666.67,22375.04,708.37
2025-02-01,CORPORATE,finance,21666.67,23328.40,1661.73
2025-03-01,CORPORATE,finance,21666.67,21107.18,-559.49
2025-04-01,CORPORATE,finance,21666.67,21541.08,-125.59
2025-05-01,CORPORATE,finance,21666.67,23019.87,1353.20
2025-06-01,CORPORATE,finance,21666.67,22464.41,797.74
2025-07-01,CORPORATE,finance,21666.67,21492.67,-174.00
2025-08-01,CORPORATE,finance,21666.67,19979.28,-1687.39
2025-09-01,CORPORATE,finance,21666.67,23353.42,1686.75
2025-10-01,CORPORATE,finance,21666.67,21314.11,-352.56
2025-11-01,CORPORATE,finance,21666.67,20609.65,-1057.02
2025-12-01,CORPORATE,finance,21666.63,20113.76,-1552.87
2025-01-01,CORPORATE,administration,18333.33,17830.03,-503.30
2025-02-01,CORPORATE,administration,18333.33,16972.52,-1360.81
2025-03-01,CORPORATE,administration,18333.33,19781.50,1448.17
2025-04-01,CORPORATE,administration,18333.33,18418.69,85.36
2025-05-01,CORPORATE,administration,18333.33,17928.01,-405.32
2025-06-01,CORPORATE,administration,18333.33,18420.36,87.03
2025-07-01,CORPORATE,administration,18333.33,18117.48,-215.85
2025-08-01,CORPORATE,administration,18333.33,18615.24,281.91
2025-09-01,CORPORATE,administration,18333.33,19795.90,1462.57
2025-10-01,CORPORATE,administration,18333.33,19363.07,1029.74
2025-11-01,CORPORATE,administration,18333.33,17457.14,-876.19
2025-12-01,CORPORATE,administration,18333.37,19459.78,1126.41
