order_id,order_line_id,order_date,customer_id,product_id,country,ship_date,delivery_date,ship_mode,quantity,unit_price,discount,gross_sales,discount_amount,net_sales,cogs,return_Amount,return_quantity,net_revenue_after_returns,adjusted_gross_profit
ORD-000001,LINE-000001,2024-04-08,CUST-016350,NVA-FUR-0036,SPAIN,2024-04-09,2024-04-12,Standard,1,211.73,0.03,211.73,6.3519,205.38,164.82,0.00,0,205.38,40.56
ORD-000001,LINE-000002,2024-04-08,CUST-016350,NVA-LGT-0061,SPAIN,2024-04-09,2024-04-12,Standard,1,138.59,0.00,138.59,0.0000,138.59,50.31,138.59,1,0.00,-50.31
ORD-000001,LINE-000003,2024-04-08,CUST-016350,NVA-DEC-0092,SPAIN,2024-04-09,2024-04-12,Standard,1,241.99,0.00,241.99,0.0000,241.99,19.66,0.00,0,241.99,222.33
ORD-000001,LINE-000004,2024-04-08,CUST-016350,NVA-DEC-0060,SPAIN,2024-04-09,2024-04-12,Standard,1,216.37,0.06,216.37,12.9822,203.39,16.13,0.00,0,203.39,187.26
ORD-000002,LINE-000005,2024-09-05,CUST-013166,NVA-FUR-0005,FRANCE,2024-09-06,2024-09-08,Express,2,605.72,0.00,1211.44,0.0000,1211.44,724.06,0.00,0,1211.44,487.38
ORD-000002,LINE-000006,2024-09-05,CUST-013166,NVA-LGT-0048,FRANCE,2024-09-06,2024-09-08,Express,1,133.55,0.06,133.55,8.0130,125.54,49.23,0.00,0,125.54,76.31
ORD-000003,LINE-000007,2024-05-23,CUST-000538,NVA-FUR-0033,FRANCE,2024-05-24,2024-05-28,Standard,1,1141.56,0.00,1141.56,0.0000,1141.56,436.28,0.00,0,1141.56,705.28
ORD-000003,LINE-000008,2024-05-23,CUST-000538,NVA-DEC-0060,FRANCE,2024-05-24,2024-05-28,Standard,3,229.38,0.00,688.14,0.0000,688.14,48.39,0.00,0,688.14,639.75
ORD-000003,LINE-000009,2024-05-23,CUST-000538,NVA-FUR-0030,FRANCE,2024-05-24,2024-05-28,Standard,3,418.31,0.00,1254.93,0.0000,1254.93,864.57,0.00,0,1254.93,390.36
ORD-000004,LINE-000010,2024-04-20,CUST-002899,NVA-FUR-0028,FRANCE,2024-04-21,2024-04-25,Standard,1,1145.30,0.09,1145.30,103.0770,1042.22,524.36,0.00,0,1042.22,517.86
ORD-000004,LINE-000011,2024-04-20,CUST-002899,NVA-DEC-0004,FRANCE,2024-04-21,2024-04-25,Standard,1,158.19,0.04,158.19,6.3276,151.86,11.75,0.00,0,151.86,140.11
ORD-000005,LINE-000012,2024-10-22,CUST-009194,NVA-TXT-0038,FRANCE,2024-10-23,2024-10-28,Standard,1,111.31,0.09,111.31,10.0179,101.29,20.48,0.00,0,101.29,80.81
ORD-000006,LINE-000013,2024-11-03,CUST-012079,NVA-FUR-0055,PORTUGAL,2024-11-05,2024-11-12,Standard,1,879.82,0.17,879.82,149.5694,730.25,403.47,0.00,0,730.25,326.78
